# Tau0 Delta logL logPrior
8.379872724889457558e+00 1.286554161941658725e+00 1.059232189058854061e+02 -2.708050201102210508e+00
1.028801161409052511e+01 1.664555221836881094e+00 1.059312073782447783e+02 -2.708050201102210508e+00
8.342727359986923830e+00 1.420055428628968386e+00 1.059374159199241774e+02 -2.708050201102210508e+00
9.650096425509291365e+00 6.177115916518947092e-01 1.059405414376126942e+02 -2.708050201102210508e+00
1.023804450468211158e+01 1.744852118730071178e+00 1.059445117185547218e+02 -2.708050201102210508e+00
1.033660390570559251e+01 1.494609153571688998e+00 1.059460894412194705e+02 -2.708050201102210508e+00
9.872785574717926949e+00 7.120954385503185380e-01 1.059462274803964732e+02 -2.708050201102210508e+00
1.019648264572918350e+01 1.795855987564814349e+00 1.059555488547752446e+02 -2.708050201102210508e+00
1.034126939591217287e+01 1.421705068213879652e+00 1.059558483616481510e+02 -2.708050201102210508e+00
8.547179138262167797e+00 1.949578831174275662e+00 1.059620405939733132e+02 -2.708050201102210508e+00
8.495139454011253477e+00 1.901376849667475666e+00 1.059623779288763785e+02 -2.708050201102210508e+00
1.029414400332712631e+01 1.167644794176983858e+00 1.059678985081731071e+02 -2.708050201102210508e+00
8.394615509263180897e+00 1.274659950680490761e+00 1.059735414557709419e+02 -2.708050201102210508e+00
8.399851605914564701e+00 1.263701454124131374e+00 1.059766577231930285e+02 -2.708050201102210508e+00
1.008186173094442317e+01 8.668733526885608054e-01 1.059810455826832509e+02 -2.708050201102210508e+00
1.028884819919511884e+01 1.626302544557359342e+00 1.059826515760241818e+02 -2.708050201102210508e+00
1.032586208153539786e+01 1.497981754696785295e+00 1.059856280168474427e+02 -2.708050201102210508e+00
1.002983662890290262e+01 1.933488886080697133e+00 1.060007070194118910e+02 -2.708050201102210508e+00
1.001832091707645134e+01 1.941629059036334537e+00 1.060011159768403388e+02 -2.708050201102210508e+00
8.383206413044332450e+00 1.705584304267006246e+00 1.060016989991199807e+02 -2.708050201102210508e+00
9.988116770236979747e+00 1.958914617425674853e+00 1.060095035139055568e+02 -2.708050201102210508e+00
1.028065374052095748e+01 1.623037738713326572e+00 1.060135467833799083e+02 -2.708050201102210508e+00
1.013721004964588346e+01 1.833301833966223926e+00 1.060173378307057277e+02 -2.708050201102210508e+00
8.356564328523578666e+00 1.489518872639926661e+00 1.060286603107714427e+02 -2.708050201102210508e+00
1.032489951610116030e+01 1.388300005254570868e+00 1.060293631860631507e+02 -2.708050201102210508e+00
8.421392432099864322e+00 1.756492476524203372e+00 1.060411724140825811e+02 -2.708050201102210508e+00
9.958553079544536502e+00 1.960411312811869422e+00 1.060537235969569281e+02 -2.708050201102210508e+00
8.386030918285278801e+00 1.652929390862998282e+00 1.060634038352118864e+02 -2.708050201102210508e+00
1.017294793994858892e+01 9.812372868858296737e-01 1.060675238893597054e+02 -2.708050201102210508e+00
8.391714386924014946e+00 1.337243043893919126e+00 1.060675607740994479e+02 -2.708050201102210508e+00
8.797564293480037989e+00 8.003622035706774440e-01 1.060793828005437689e+02 -2.708050201102210508e+00
8.381068324397002556e+00 1.391784844659809339e+00 1.060800548998522999e+02 -2.708050201102210508e+00
8.607938889235157376e+00 1.942983746723676131e+00 1.060806454963175298e+02 -2.708050201102210508e+00
8.424315272684184563e+00 1.731815434187899072e+00 1.060829115693620395e+02 -2.708050201102210508e+00
9.277529648375184124e+00 5.948332379092172717e-01 1.061018468198058855e+02 -2.708050201102210508e+00
1.029443146592348945e+01 1.252623473494441253e+00 1.061048720684602813e+02 -2.708050201102210508e+00
8.457654075140254690e+00 1.768794394505911471e+00 1.061141222023825179e+02 -2.708050201102210508e+00
9.946322713566527085e+00 1.943393569271988364e+00 1.061168451606882144e+02 -2.708050201102210508e+00
8.815016837887780454e+00 7.914783448601716564e-01 1.061185031861943457e+02 -2.708050201102210508e+00
8.801284931463065675e+00 8.017687762839550425e-01 1.061203229759212974e+02 -2.708050201102210508e+00
1.029455351937133933e+01 1.464946963314946338e+00 1.061286742196239601e+02 -2.708050201102210508e+00
1.004570117301901000e+01 1.868314183063225498e+00 1.061286942277371850e+02 -2.708050201102210508e+00
1.029075137954934505e+01 1.262334371982958725e+00 1.061331910893854769e+02 -2.708050201102210508e+00
8.569716059615192449e+00 1.887684120793451159e+00 1.061340168754218212e+02 -2.708050201102210508e+00
8.614555106278190877e+00 1.923311757877097294e+00 1.061356486976243616e+02 -2.708050201102210508e+00
9.949144491441307636e+00 1.933922276130848550e+00 1.061366998320271762e+02 -2.708050201102210508e+00
9.890348087366302110e+00 1.966532872655702757e+00 1.061403957569809791e+02 -2.708050201102210508e+00
8.688036185369412578e+00 1.969605911337856785e+00 1.061409540214666123e+02 -2.708050201102210508e+00
1.013530789218180850e+01 1.777474049505811671e+00 1.061414188928308420e+02 -2.708050201102210508e+00
8.403964054920072257e+00 1.622943971835083765e+00 1.061447722630956889e+02 -2.708050201102210508e+00
8.422557628161545296e+00 1.291740407761408083e+00 1.061448533587654737e+02 -2.708050201102210508e+00
1.008133022477289131e+01 1.830204332044114590e+00 1.061456590942027702e+02 -2.708050201102210508e+00
9.875396461049994912e+00 1.969315500934511354e+00 1.061539615602262927e+02 -2.708050201102210508e+00
9.963171634645037855e+00 1.918105708609810112e+00 1.061542413463451595e+02 -2.708050201102210508e+00
9.946082085336282574e+00 7.762191554460067255e-01 1.061568886119133737e+02 -2.708050201102210508e+00
9.276345093114793272e+00 5.982815963162948503e-01 1.061573701794212354e+02 -2.708050201102210508e+00
1.028665758559606580e+01 1.456572330983649355e+00 1.061646710203943371e+02 -2.708050201102210508e+00
1.013971003909315449e+01 9.574781194362658177e-01 1.061663285353197921e+02 -2.708050201102210508e+00
1.017614001254096578e+01 1.713783519166117486e+00 1.061679118797472370e+02 -2.708050201102210508e+00
1.010797531690064233e+01 9.240000450204214344e-01 1.061903031653658473e+02 -2.708050201102210508e+00
1.001982118802642674e+01 1.862805371659492781e+00 1.061913859067570058e+02 -2.708050201102210508e+00
8.647443790569058208e+00 1.917838967401167771e+00 1.062016288525292538e+02 -2.708050201102210508e+00
8.597756145371175052e+00 1.875016673623638219e+00 1.062119663377496011e+02 -2.708050201102210508e+00
8.991354661092112011e+00 6.924564021108123857e-01 1.062164652987146525e+02 -2.708050201102210508e+00
8.579116847493381215e+00 1.855560742887468972e+00 1.062183122141848912e+02 -2.708050201102210508e+00
1.007314763828641624e+01 1.804134853406622385e+00 1.062223148233354379e+02 -2.708050201102210508e+00
8.645059814336953252e+00 1.907012524301088474e+00 1.062224447002358829e+02 -2.708050201102210508e+00
1.001427682521551610e+01 1.853504160441580506e+00 1.062243438020157669e+02 -2.708050201102210508e+00
8.765248260252507251e+00 8.421710566758988659e-01 1.062296905086172387e+02 -2.708050201102210508e+00
8.705410125157845513e+00 8.959021603892739494e-01 1.062345253202566369e+02 -2.708050201102210508e+00
9.865589435039806787e+00 1.944030316375782830e+00 1.062350615087944732e+02 -2.708050201102210508e+00
1.016237212219750319e+01 1.697473222410568194e+00 1.062351415446955230e+02 -2.708050201102210508e+00
9.751109857944754822e+00 1.994717239584652191e+00 1.062369763558591274e+02 -2.708050201102210508e+00
8.841536160812202283e+00 7.853071768445299972e-01 1.062466021739388111e+02 -2.708050201102210508e+00
9.918738981192980475e+00 1.909796705302240216e+00 1.062470152518022246e+02 -2.708050201102210508e+00
8.770846507664877834e+00 1.969663861188513110e+00 1.062494298987113979e+02 -2.708050201102210508e+00
8.421471708699455050e+00 1.391793810232695661e+00 1.062520948581321818e+02 -2.708050201102210508e+00
9.772218319913541507e+00 6.842040377211211499e-01 1.062523733465553875e+02 -2.708050201102210508e+00
1.027106033752283309e+01 1.307082481482905179e+00 1.062563974944314680e+02 -2.708050201102210508e+00
1.002213954133594775e+01 1.832384335505450768e+00 1.062601447202490874e+02 -2.708050201102210508e+00
9.781881693375932940e+00 1.973803588794702524e+00 1.062606966676965357e+02 -2.708050201102210508e+00
8.589345944792139420e+00 1.844015654826687722e+00 1.062614450500504972e+02 -2.708050201102210508e+00
8.477071880228866263e+00 1.699621121043147109e+00 1.062657405601788980e+02 -2.708050201102210508e+00
8.446105578867266317e+00 1.628504783223164720e+00 1.062670010172000872e+02 -2.708050201102210508e+00
9.163700755315106861e+00 6.292516674580290736e-01 1.062743726868212661e+02 -2.708050201102210508e+00
8.568313145334172987e+00 1.817210124965084939e+00 1.062744372911095354e+02 -2.708050201102210508e+00
9.936710521227874793e+00 1.887781817977471022e+00 1.062751155213179857e+02 -2.708050201102210508e+00
1.024700840884136888e+01 1.198834247559274369e+00 1.062805290816842501e+02 -2.708050201102210508e+00
9.937270189093016626e+00 7.825555536728598938e-01 1.062815765061559148e+02 -2.708050201102210508e+00
8.478252206745514385e+00 1.222636197921269652e+00 1.062879768997225938e+02 -2.708050201102210508e+00
8.431943295695832674e+00 1.540584727518748753e+00 1.062916283942064553e+02 -2.708050201102210508e+00
8.647953443897684167e+00 1.878277559927445051e+00 1.062918922925498606e+02 -2.708050201102210508e+00
8.858268994637146676e+00 1.988691230846975744e+00 1.062961916427605900e+02 -2.708050201102210508e+00
8.830849957292970842e+00 1.977736388443497306e+00 1.062969411833424971e+02 -2.708050201102210508e+00
1.003928620513744718e+01 1.801932050416549469e+00 1.062979578141321042e+02 -2.708050201102210508e+00
9.979976276090276599e+00 1.849078503630261494e+00 1.062983612689805852e+02 -2.708050201102210508e+00
