# Tau0 Delta logL logPrior
6.970794383533449157e+00 6.710384427550832864e-01 5.718922113325599099e+01 -2.708050201102210508e+00
1.447959906288254750e+01 1.499366855754845851e+00 5.751270805581681600e+01 -2.708050201102210508e+00
1.232684600648453355e+01 8.140269417146702713e-01 5.789164775410392849e+01 -2.708050201102210508e+00
1.269215456174566725e+01 9.274971774026626870e-01 5.808075997768518306e+01 -2.708050201102210508e+00
1.470581824030357332e+01 1.596028884490950928e+00 5.859793853485702186e+01 -2.708050201102210508e+00
1.228100389753973154e+01 8.070314451150573110e-01 5.866448576439427853e+01 -2.708050201102210508e+00
1.210554246726999494e+01 7.551612443488718851e-01 5.877134828175518777e+01 -2.708050201102210508e+00
1.323814445301310094e+01 1.108452065140177689e+00 5.879173346266583167e+01 -2.708050201102210508e+00
5.900580888052678219e+00 1.009305673294927708e+00 5.887580692025255757e+01 -2.708050201102210508e+00
1.224604388744242023e+01 7.988497554514404353e-01 5.893629600589377304e+01 -2.708050201102210508e+00
1.412594952506209722e+01 1.406700624717828640e+00 5.908592301604393526e+01 -2.708050201102210508e+00
1.354641555029832389e+01 1.221798137601180834e+00 5.970546426857569600e+01 -2.708050201102210508e+00
7.173352256724375486e+00 6.294170661225305663e-01 5.981190827498824092e+01 -2.708050201102210508e+00
1.171217079485640866e+01 6.483317469080397411e-01 5.993357207411776955e+01 -2.708050201102210508e+00
5.293091319521797899e+00 1.214832076395138794e+00 5.997425540762429819e+01 -2.708050201102210508e+00
1.322746307617673622e+01 1.120317441929647329e+00 5.998484158852720327e+01 -2.708050201102210508e+00
5.046259198684658109e+00 1.295132945747616837e+00 5.999779171428487246e+01 -2.708050201102210508e+00
6.623162513525358897e+00 7.999496361477603790e-01 6.030426105770038703e+01 -2.708050201102210508e+00
1.422876625023842045e+01 1.466544310201026713e+00 6.050787532733956908e+01 -2.708050201102210508e+00
1.355039394354041882e+01 1.235105704764548173e+00 6.052731623060758182e+01 -2.708050201102210508e+00
5.532257581544766545e+00 1.145938480593980735e+00 6.059571633504507560e+01 -2.708050201102210508e+00
1.407450332815250782e+01 1.422759882884299554e+00 6.105572319946714543e+01 -2.708050201102210508e+00
5.957367280985840452e+00 1.021823981484580646e+00 6.160568773148546029e+01 -2.708050201102210508e+00
1.263778314630321731e+01 9.492490495026719710e-01 6.170808276198285114e+01 -2.708050201102210508e+00
1.354750623729235492e+01 1.257500819289926408e+00 6.206477883945129292e+01 -2.708050201102210508e+00
1.150378052792923356e+01 6.036193728487332377e-01 6.212689127381434417e+01 -2.708050201102210508e+00
1.263910678299521351e+01 9.560684663674203776e-01 6.226843525119290490e+01 -2.708050201102210508e+00
5.464495797736179661e+00 1.190530126567180602e+00 6.229683623189880848e+01 -2.708050201102210508e+00
6.278508657926547443e+00 9.280071476802790320e-01 6.239324676100626021e+01 -2.708050201102210508e+00
1.255836702307992780e+01 9.326100316105407906e-01 6.251413073832478773e+01 -2.708050201102210508e+00
1.429843047720240534e+01 1.533874266260158103e+00 6.275975807140989815e+01 -2.708050201102210508e+00
1.459602868717226443e+01 1.642409999710429558e+00 6.279718673630277692e+01 -2.708050201102210508e+00
1.389974354103078369e+01 1.392983642254937537e+00 6.282726830454571143e+01 -2.708050201102210508e+00
1.332446450428999363e+01 1.194807434173446925e+00 6.297211911025530640e+01 -2.708050201102210508e+00
5.530587443151926408e+00 1.179469454509081139e+00 6.307710969255077771e+01 -2.708050201102210508e+00
6.501117118609922585e+00 8.666436996889915756e-01 6.332238573146852900e+01 -2.708050201102210508e+00
1.410568794735455356e+01 1.475815658295454913e+00 6.333201322458924665e+01 -2.708050201102210508e+00
1.220491967995742755e+01 8.306062008811688768e-01 6.364118707003450481e+01 -2.708050201102210508e+00
1.271718184003683483e+01 1.004962497990557369e+00 6.417518150639980945e+01 -2.708050201102210508e+00
1.385717920906698097e+01 1.404826914198539889e+00 6.430436513528437104e+01 -2.708050201102210508e+00
1.294369432594245239e+01 1.087269453853027645e+00 6.457451519741253776e+01 -2.708050201102210508e+00
1.444060104513903653e+01 1.635973966538975644e+00 6.509060036384589409e+01 -2.708050201102210508e+00
1.329871386169120662e+01 1.220951216913681137e+00 6.521849747807473818e+01 -2.708050201102210508e+00
1.439382963200247190e+01 1.624184033673076843e+00 6.534442200247789856e+01 -2.708050201102210508e+00
1.216676180908432414e+01 8.376738813634001524e-01 6.550664256042857403e+01 -2.708050201102210508e+00
1.183927156150692639e+01 7.327801322138283169e-01 6.556932547698255576e+01 -2.708050201102210508e+00
5.651310735314557299e+00 1.175945197850521984e+00 6.567858515789816920e+01 -2.708050201102210508e+00
1.199425160447746741e+01 7.835112197264824108e-01 6.569440344315282232e+01 -2.708050201102210508e+00
6.339395553290703589e+00 9.461225676072634316e-01 6.579533810176479847e+01 -2.708050201102210508e+00
6.022839598856998933e+00 1.051791652908951269e+00 6.580028568816291568e+01 -2.708050201102210508e+00
6.435236549017305130e+00 9.145367119676002243e-01 6.580330417500843510e+01 -2.708050201102210508e+00
6.082285087417552916e+00 1.032568280816829054e+00 6.585702410612434221e+01 -2.708050201102210508e+00
1.252717259408852613e+01 9.639424655902854022e-01 6.601010504389034850e+01 -2.708050201102210508e+00
1.142408338699076431e+01 6.085944314046699555e-01 6.602851459852610105e+01 -2.708050201102210508e+00
6.632818036869659650e+00 8.545950724265090059e-01 6.627059261248295741e+01 -2.708050201102210508e+00
1.391744769594660269e+01 1.465995867227430915e+00 6.628738870201699740e+01 -2.708050201102210508e+00
1.360300660959124563e+01 1.351506879140607742e+00 6.639445447801732314e+01 -2.708050201102210508e+00
1.232842860907213023e+01 9.022150526498906586e-01 6.646712064344164617e+01 -2.708050201102210508e+00
1.453477983144229313e+01 1.707336769581294655e+00 6.657237506282692152e+01 -2.708050201102210508e+00
6.283541898199957565e+00 9.747168183628082128e-01 6.662793992451933889e+01 -2.708050201102210508e+00
6.661656805214144939e+00 8.494538920119503178e-01 6.667889454372208036e+01 -2.708050201102210508e+00
1.371201943300999204e+01 1.398189864494038259e+00 6.672251654731060455e+01 -2.708050201102210508e+00
1.281303351809402891e+01 1.074946257027983521e+00 6.688973244883884206e+01 -2.708050201102210508e+00
1.349535851482829685e+01 1.323123654152991158e+00 6.699658228315175279e+01 -2.708050201102210508e+00
6.071442640673694768e+00 1.051353355689276681e+00 6.701049139068713600e+01 -2.708050201102210508e+00
